Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
로그인,4000,1509,18,3726,973.12,0.075%,27.19608,13.35,10.21,502.8
인기 게시글 목록 조회,4000,136,4,822,148.76,0.075%,27.26151,155.61,8.33,5845.0
인기 게시글 조회,4000,182,2,907,139.83,0.075%,27.38807,21.54,8.29,805.3
인기 게시글 댓글 페이징 조회,4000,208,4,821,139.89,0.075%,27.42036,83.48,8.51,3117.4
Debug Sampler,4000,0,0,7,0.33,0.000%,27.44218,16.44,0.00,613.5
인기게시글 대댓글 전부 조회,4000,334,4,1036,224.13,0.075%,27.44143,401.93,8.64,14998.2
포스트 좋아요,2000,205,3,816,161.12,0.000%,13.73777,4.81,4.49,358.3
포스트 좋아요 취소,1000,310,6,912,169.20,0.000%,6.87734,1.95,2.26,291.0
루트 댓글 작성,600,168,5,836,141.79,0.000%,4.12244,1.76,1.66,437.7
대댓글,360,317,9,881,185.23,0.000%,2.48542,1.05,1.03,432.1
TOTAL,27960,372,0,3726,616.72,0.054%,190.05540,696.70,53.08,3753.7
